lo	hi	CD38	day	lo_1	hi_1
1024	0	-	0	497	136
1024	0	-	0	1040	115
1024	0	-	0	921	78
1024	0	-	0	497	136
1024	0	-	0	1040	115
1024	0	-	0	921	78
1024	0	-	0	497	136
1024	0	-	0	1040	115
1024	0	-	0	921	78
8	1002	+	0	159	1420
8	1002	+	0	138	1646
8	1002	+	0	169	1267
8	1002	+	0	159	1420
8	1002	+	0	138	1646
8	1002	+	0	169	1267
8	1002	+	0	159	1420
8	1002	+	0	138	1646
8	1002	+	0	169	1267
497	136	-	3	779	209
497	136	-	3	692	197
497	136	-	3	1032	267
1040	115	-	3	779	209
1040	115	-	3	692	197
1040	115	-	3	1032	267
921	78	-	3	779	209
921	78	-	3	692	197
921	78	-	3	1032	267
159	1420	+	3	220	883
159	1420	+	3	159	942
159	1420	+	3	126	832
138	1646	+	3	220	883
138	1646	+	3	159	942
138	1646	+	3	126	832
169	1267	+	3	220	883
169	1267	+	3	159	942
169	1267	+	3	126	832
