lo	hi	CD38	day	lo_1	hi_1
972	0	-	0	607	814
972	0	-	0	581	858
972	0	-	0	507	570
972	0	-	0	607	814
972	0	-	0	581	858
972	0	-	0	507	570
972	0	-	0	607	814
972	0	-	0	581	858
972	0	-	0	507	570
0	996	+	0	14	887
0	996	+	0	10	829
0	996	+	0	13	937
0	996	+	0	14	887
0	996	+	0	10	829
0	996	+	0	13	937
0	996	+	0	14	887
0	996	+	0	10	829
0	996	+	0	13	937
607	814	-	3	119	854
607	814	-	3	89	334
607	814	-	3	162	581
581	858	-	3	119	854
581	858	-	3	89	334
581	858	-	3	162	581
507	570	-	3	119	854
507	570	-	3	89	334
507	570	-	3	162	581
14	887	+	3	4	564
14	887	+	3	5	621
14	887	+	3	12	667
10	829	+	3	4	564
10	829	+	3	5	621
10	829	+	3	12	667
13	937	+	3	4	564
13	937	+	3	5	621
13	937	+	3	12	667
